CID,SID
29,1
55,1
45,1
15,1
126,2
63,2
57,2
21,2
143,3
71,3
99,3
18,3
96,4
67,4
134,4
43,4
122,5
36,5
89,5
126,5
13,6
7,6
29,6
65,6
7,7
136,7
91,7
140,7
148,8
78,8
126,8
64,8
140,9
108,9
133,9
135,9
14,10
68,10
132,10
61,10
126,11
7,11
15,11
122,11
39,12
22,12
77,12
55,12
77,13
94,13
20,13
104,13
89,14
80,14
126,14
65,14
106,15
116,15
128,15
110,15
22,16
51,16
126,16
87,16
33,17
15,17
15,17
60,17
92,18
21,18
19,18
25,18
97,19
72,19
130,19
88,19
43,20
112,20
114,20
76,20
123,21
131,21
16,21
31,21
96,22
10,22
109,22
6,22
124,23
83,23
82,23
109,23
78,24
132,24
61,24
102,24
104,25
7,25
48,25
9,25
130,26
85,26
60,26
144,26
63,27
3,27
1,27
33,27
17,28
23,28
136,28
145,28
46,29
82,29
119,29
31,29
145,30
38,30
104,30
34,30
134,31
54,31
19,31
87,31
61,32
10,32
140,32
27,32
94,33
147,33
86,33
107,33
32,34
40,34
19,34
6,34
114,35
127,35
117,35
130,35
136,36
1,36
90,36
40,36
82,37
108,37
90,37
40,37
144,38
38,38
22,38
137,38
61,39
120,39
42,39
124,39
68,40
12,40
34,40
46,40
88,41
53,41
22,41
3,41
113,42
133,42
109,42
1,42
22,43
147,43
130,43
128,43
7,44
129,44
23,44
84,44
100,45
125,45
122,45
53,45
90,46
146,46
101,46
22,46
51,47
129,47
85,47
66,47
121,48
70,48
143,48
76,48
78,49
104,49
90,49
6,49
135,50
64,50
53,50
135,50
42,51
35,51
77,51
35,51
126,52
89,52
84,52
124,52
131,53
77,53
100,53
83,53
146,54
66,54
66,54
72,54
73,55
94,55
72,55
136,55
97,56
47,56
20,56
64,56
67,57
76,57
56,57
38,57
113,58
50,58
86,58
17,58
58,59
31,59
100,59
10,59
59,60
130,60
111,60
85,60
41,61
101,61
58,61
134,61
136,62
118,62
34,62
47,62
29,63
80,63
7,63
33,63
33,64
63,64
27,64
129,64
95,65
69,65
71,65
57,65
43,66
75,66
126,66
27,66
22,67
72,67
98,67
91,67
32,68
98,68
123,68
3,68
57,69
137,69
61,69
38,69
111,70
58,70
40,70
81,70
141,71
20,71
105,71
22,71
59,72
123,72
129,72
139,72
119,73
3,73
132,73
5,73
12,74
12,74
47,74
36,74
75,75
131,75
36,75
67,75
109,76
116,76
102,76
136,76
36,77
119,77
91,77
133,77
121,78
65,78
90,78
42,78
139,79
131,79
37,79
65,79
3,80
89,80
43,80
96,80
113,81
10,81
106,81
31,81
27,82
143,82
42,82
38,82
89,83
67,83
53,83
2,83
19,84
39,84
1,84
72,84
27,85
97,85
59,85
83,85
118,86
109,86
129,86
70,86
24,87
127,87
63,87
114,87
29,88
95,88
99,88
13,88
28,89
34,89
93,89
94,89
54,90
114,90
101,90
56,90
16,91
136,91
46,91
12,91
94,92
147,92
23,92
11,92
83,93
135,93
129,93
11,93
117,94
91,94
107,94
134,94
132,95
91,95
102,95
94,95
105,96
35,96
65,96
33,96
110,97
21,97
147,97
39,97
129,98
134,98
47,98
143,98
121,99
139,99
1,99
22,99
69,100
146,100
137,100
134,100
40,101
128,101
139,101
35,101
75,102
115,102
70,102
101,102
146,103
53,103
42,103
122,103
123,104
20,104
52,104
86,104
28,105
31,105
48,105
93,105
38,106
114,106
129,106
45,106
122,107
86,107
132,107
146,107
49,108
61,108
23,108
140,108
2,109
119,109
102,109
41,109
90,110
41,110
96,110
103,110
68,111
9,111
80,111
33,111
45,112
45,112
40,112
139,112
126,113
132,113
69,113
2,113
86,114
140,114
78,114
110,114
16,115
68,115
127,115
138,115
128,116
26,116
71,116
89,116
146,117
93,117
97,117
134,117
139,118
23,118
3,118
122,118
38,119
88,119
40,119
80,119
143,120
83,120
15,120
105,120
4,121
115,121
70,121
33,121
48,122
113,122
67,122
77,122
109,123
133,123
147,123
67,123
84,124
75,124
134,124
13,124
65,125
63,125
132,125
109,125
115,126
61,126
79,126
66,126
133,127
12,127
83,127
148,127
14,128
78,128
133,128
13,128
51,129
108,129
23,129
4,129
121,130
87,130
5,130
92,130
21,131
72,131
114,131
65,131
117,132
98,132
102,132
13,132
144,133
72,133
52,133
29,133
42,134
44,134
49,134
98,134
61,135
111,135
17,135
106,135
134,136
146,136
22,136
70,136
71,137
57,137
94,137
118,137
147,138
109,138
106,138
87,138
132,139
22,139
26,139
85,139
58,140
123,140
111,140
66,140
90,141
82,141
75,141
80,141
70,142
42,142
107,142
112,142
29,143
128,143
94,143
94,143
34,144
100,144
96,144
57,144
87,145
3,145
44,145
95,145
92,146
140,146
41,146
74,146
41,147
115,147
64,147
34,147
14,148
17,148
23,148
126,148
120,149
37,149
92,149
143,149
74,150
9,150
36,150
63,150
134,151
3,151
138,151
121,151
5,152
24,152
35,152
51,152
99,153
117,153
125,153
123,153
104,154
38,154
40,154
122,154
56,155
93,155
103,155
4,155
68,156
79,156
12,156
95,156
53,157
87,157
136,157
10,157
135,158
96,158
50,158
117,158
10,159
18,159
12,159
33,159
20,160
148,160
69,160
79,160
99,161
137,161
123,161
120,161
75,162
6,162
35,162
44,162
56,163
1,163
45,163
89,163
83,164
26,164
104,164
135,164
92,165
102,165
132,165
53,165
90,166
103,166
14,166
89,166
118,167
138,167
146,167
16,167
114,168
117,168
29,168
33,168
91,169
122,169
34,169
145,169
136,170
47,170
138,170
10,170
54,171
34,171
30,171
36,171
2,172
84,172
57,172
76,172
122,173
64,173
144,173
100,173
146,174
47,174
34,174
68,174
138,175
92,175
114,175
114,175
99,176
71,176
104,176
79,176
42,177
28,177
139,177
120,177
75,178
59,178
72,178
36,178
67,179
125,179
99,179
4,179
126,180
148,180
76,180
80,180
120,181
32,181
114,181
30,181
81,182
96,182
58,182
107,182
43,183
109,183
103,183
23,183
80,184
31,184
127,184
139,184
60,185
8,185
137,185
74,185
54,186
87,186
76,186
93,186
77,187
51,187
22,187
98,187
37,188
135,188
91,188
78,188
21,189
81,189
