PID,SID
41,1
138,1
9,2
133,2
127,3
65,3
111,4
2,4
105,5
143,5
48,6
102,6
142,7
64,7
90,8
43,8
94,9
35,9
112,10
69,10
65,11
104,11
60,12
56,12
59,13
99,13
7,14
1,14
139,15
69,15
21,16
46,16
129,17
76,17
102,18
98,18
132,19
138,19
43,20
144,20
91,21
18,21
13,22
144,22
144,23
49,23
7,24
126,24
3,25
101,25
10,26
39,26
38,27
104,27
25,28
5,28
117,29
131,29
106,30
70,30
21,31
117,31
124,32
7,32
121,33
82,33
55,34
116,34
24,35
105,35
51,36
127,36
31,37
58,37
15,38
107,38
142,39
139,39
3,40
63,40
51,41
34,41
118,42
135,42
34,43
106,43
6,44
72,44
73,45
148,45
75,46
106,46
7,47
142,47
78,48
116,48
85,49
37,49
58,50
100,50
25,51
107,51
67,52
19,52
63,53
110,53
146,54
96,54
95,55
110,55
135,56
31,56
126,57
128,57
41,58
55,58
47,59
25,59
9,60
68,60
37,61
23,61
147,62
74,62
68,63
21,63
80,64
81,64
43,65
71,65
119,66
17,66
117,67
13,67
107,68
27,68
45,69
46,69
146,70
52,70
58,71
99,71
29,72
147,72
66,73
24,73
128,74
44,74
130,75
63,75
102,76
55,76
115,77
76,77
55,78
126,78
21,79
132,79
106,80
47,80
37,81
139,81
60,82
44,82
19,83
125,83
25,84
86,84
147,85
97,85
121,86
121,86
58,87
10,87
15,88
97,88
106,89
25,89
90,90
139,90
38,91
110,91
135,92
110,92
91,93
16,93
34,94
62,94
11,95
148,95
6,96
137,96
64,97
84,97
61,98
23,98
9,99
26,99
103,100
127,100
71,101
75,101
124,102
74,102
89,103
100,103
80,104
113,104
21,105
111,105
120,106
143,106
61,107
71,107
105,108
83,108
146,109
34,109
28,110
25,110
100,111
101,111
31,112
113,112
5,113
122,113
15,114
93,114
136,115
136,115
116,116
26,116
85,117
71,117
68,118
69,118
70,119
6,119
62,120
60,120
112,121
129,121
117,122
132,122
94,123
81,123
1,124
29,124
25,125
74,125
2,126
61,126
51,127
7,127
22,128
20,128
95,129
148,129
6,130
69,130
9,131
118,131
27,132
95,132
34,133
106,133
11,134
139,134
145,135
83,135
47,136
10,136
54,137
15,137
33,138
137,138
43,139
48,139
55,140
80,140
147,141
53,141
84,142
136,142
37,143
131,143
108,144
135,144
37,145
38,145
108,146
136,146
123,147
89,147
114,148
77,148
141,149
96,149
76,150
88,150
44,151
16,151
64,152
109,152
88,153
18,153
27,154
1,154
118,155
83,155
144,156
132,156
47,157
13,157
106,158
79,158
114,159
93,159
141,160
83,160
142,161
11,161
3,162
15,162
8,163
132,163
136,164
38,164
78,165
143,165
105,166
120,166
116,167
46,167
59,168
95,168
108,169
60,169
10,170
3,170
33,171
86,171
72,172
69,172
31,173
37,173
80,174
55,174
95,175
66,175
79,176
131,176
17,177
1,177
139,178
32,178
13,179
82,179
44,180
28,180
135,181
63,181
77,182
132,182
140,183
133,183
31,184
94,184
79,185
139,185
45,186
43,186
37,187
139,187
127,188
63,188
67,189
70,189
2,190
42,190
119,191
131,191
26,192
79,192
129,193
106,193
135,194
88,194
16,195
39,195
88,196
139,196
50,197
83,197
57,198
87,198
50,199
123,199
13,200
25,200
113,201
80,201
26,202
144,202
25,203
67,203
119,204
23,204
148,205
107,205
53,206
28,206
39,207
143,207
2,208
59,208
4,209
101,209
135,210
21,210
132,211
6,211
139,212
16,212
15,213
5,213
13,214
24,214
84,215
116,215
123,216
3,216
44,217
115,217
143,218
141,218
132,219
58,219
148,220
135,220
35,221
43,221
42,222
89,222
94,223
30,223
64,224
121,224
86,225
115,225
74,226
129,226
130,227
125,227
59,228
108,228
66,229
32,229
73,230
52,230
25,231
38,231
1,232
67,232
134,233
27,233
4,234
51,234
45,235
56,235
21,236
82,236
55,237
100,237
34,238
111,238
105,239
78,239
47,240
14,240
84,241
122,241
134,242
17,242
65,243
4,243
2,244
73,244
75,245
113,245
15,246
26,246
3,247
129,247
79,248
21,248
7,249
22,249
35,250
39,250
120,251
84,251
38,252
129,252
100,253
12,253
142,254
127,254
146,255
113,255
75,256
22,256
124,257
33,257
85,258
136,258
86,259
77,259
14,260
68,260
80,261
97,261
67,262
138,262
39,263
136,263
132,264
22,264
141,265
95,265
108,266
61,266
58,267
94,267
12,268
27,268
14,269
116,269
123,270
99,270
136,271
141,271
73,272
146,272
18,273
17,273
100,274
46,274
132,275
4,275
39,276
125,276
133,277
125,277
32,278
124,278
146,279
58,279
41,280
1,280
23,281
64,281
56,282
108,282
76,283
82,283
137,284
47,284
40,285
137,285
21,286
57,286
3,287
50,287
142,288
35,288
108,289
17,289
107,290
147,290
108,291
123,291
129,292
138,292
100,293
29,293
15,294
122,294
114,295
145,295
62,296
56,296
19,297
40,297
34,298
123,298
62,299
108,299
117,300
45,300
49,301
121,301
18,302
99,302
140,303
102,303
27,304
33,304
121,305
110,305
66,306
84,306
112,307
127,307
9,308
8,308
4,309
78,309
63,310
105,310
112,311
71,311
20,312
48,312
3,313
61,313
28,314
98,314
119,315
102,315
15,316
91,316
73,317
113,317
132,318
33,318
90,319
48,319
107,320
43,320
31,321
88,321
138,322
134,322
23,323
39,323
87,324
10,324
46,325
89,325
81,326
110,326
138,327
36,327
53,328
127,328
97,329
119,329
134,330
145,330
144,331
88,331
41,332
37,332
22,333
122,333
143,334
98,334
26,335
63,335
96,336
106,336
118,337
66,337
102,338
29,338
13,339
110,339
130,340
38,340
2,341
139,341
1,342
64,342
70,343
70,343
144,344
7,344
10,345
97,345
6,346
16,346
16,347
93,347
92,348
64,348
116,349
41,349
9,350
99,350
133,351
61,351
40,352
19,352
9,353
112,353
56,354
89,354
3,355
72,355
61,356
115,356
104,357
41,357
97,358
124,358
53,359
61,359
140,360
148,360
39,361
2,361
54,362
135,362
79,363
111,363
118,364
140,364
104,365
14,365
81,366
123,366
89,367
144,367
138,368
129,368
59,369
28,369
80,370
58,370
144,371
78,371
111,372
50,372
147,373
78,373
54,374
54,374
7,375
144,375
133,376
21,376
8,377
43,377
73,378
88,378
80,379
30,379
85,380
59,380
72,381
42,381
143,382
10,382
18,383
11,383
148,384
9,384
72,385
43,385
127,386
13,386
1,387
41,387
76,388
121,388
140,389
6,389
14,390
139,390
47,391
91,391
78,392
64,392
73,393
135,393
10,394
11,394
122,395
58,395
139,396
120,396
11,397
42,397
147,398
89,398
49,399
61,399
136,400
84,400
36,401
118,401
5,402
7,402
39,403
126,403
38,404
41,404
114,405
30,405
48,406
91,406
68,407
122,407
54,408
18,408
31,409
44,409
116,410
12,410
77,411
67,411
91,412
125,412
102,413
17,413
78,414
8,414
81,415
22,415
142,416
123,416
22,417
80,417
84,418
73,418
133,419
33,419
36,420
142,420
110,421
52,421
113,422
52,422
19,423
107,423
49,424
24,424
73,425
108,425
33,426
80,426
100,427
49,427
143,428
110,428
58,429
75,429
56,430
102,430
86,431
56,431
126,432
74,432
57,433
148,433
148,434
25,434
81,435
92,435
40,436
44,436
91,437
105,437
49,438
7,438
53,439
61,439
140,440
139,440
67,441
77,441
114,442
71,442
2,443
142,443
55,444
111,444
61,445
95,445
109,446
68,446
78,447
17,447
29,448
47,448
115,449
140,449
9,450
101,450
100,451
67,451
133,452
49,452
143,453
58,453
120,454
84,454
119,455
13,455
125,456
134,456
41,457
33,457
102,458
43,458
32,459
98,459
70,460
70,460
88,461
101,461
120,462
65,462
3,463
57,463
48,464
56,464
34,465
117,465
25,466
59,466
23,467
23,467
85,468
48,468
145,469
125,469
55,470
34,470
147,471
11,471
29,472
85,472
71,473
52,473
39,474
141,474
139,475
68,475
87,476
60,476
98,477
139,477
47,478
116,478
42,479
143,479
113,480
21,480
33,481
13,481
56,482
38,482
68,483
120,483
6,484
90,484
116,485
64,485
131,486
80,486
4,487
65,487
37,488
12,488
148,489
47,489
77,490
46,490
118,491
10,491
117,492
60,492
12,493
124,493
3,494
13,494
29,495
57,495
146,496
137,496
44,497
126,497
71,498
107,498
22,499
104,499
10,500
108,500
24,501
138,501
56,502
59,502
54,503
8,503
144,504
18,504
76,505
37,505
10,506
139,506
87,507
41,507
74,508
24,508
72,509
112,509
104,510
10,510
139,511
56,511
65,512
53,512
84,513
26,513
83,514
107,514
136,515
74,515
75,516
142,516
77,517
95,517
84,518
118,518
51,519
21,519
93,520
10,520
120,521
20,521
133,522
61,522
139,523
101,523
69,524
87,524
125,525
73,525
27,526
80,526
53,527
77,527
73,528
73,528
89,529
56,529
122,530
135,530
145,531
88,531
125,532
106,532
59,533
91,533
34,534
135,534
141,535
56,535
144,536
68,536
122,537
32,537
69,538
126,538
34,539
125,539
132,540
135,540
102,541
117,541
22,542
127,542
13,543
71,543
40,544
115,544
88,545
19,545
17,546
11,546
20,547
116,547
79,548
140,548
62,549
91,549
99,550
11,550
137,551
47,551
16,552
28,552
30,553
79,553
51,554
128,554
30,555
55,555
23,556
64,556
125,557
3,557
42,558
19,558
45,559
111,559
50,560
132,560
118,561
145,561
120,562
20,562
93,563
50,563
146,564
31,564
43,565
59,565
58,566
30,566
134,567
143,567
53,568
88,568
51,569
141,569
7,570
69,570
80,571
75,571
24,572
112,572
70,573
138,573
63,574
131,574
109,575
129,575
70,576
78,576
79,577
30,577
92,578
20,578
39,579
28,579
140,580
66,580
37,581
40,581
73,582
76,582
71,583
68,583
4,584
98,584
95,585
46,585
42,586
101,586
102,587
120,587
53,588
16,588
139,589
137,589
97,590
2,590
93,591
8,591
104,592
50,592
83,593
94,593
137,594
61,594
73,595
72,595
22,596
39,596
93,597
11,597
2,598
131,598
35,599
136,599
49,600
80,600
67,601
115,601
39,602
24,602
6,603
138,603
71,604
49,604
42,605
50,605
66,606
101,606
82,607
42,607
9,608
37,608
57,609
125,609
132,610
77,610
95,611
12,611
56,612
31,612
97,613
94,613
48,614
108,614
51,615
35,615
46,616
146,616
118,617
124,617
10,618
107,618
14,619
54,619
39,620
132,620
55,621
118,621
114,622
73,622
104,623
101,623
136,624
116,624
73,625
19,625
47,626
126,626
25,627
28,627
40,628
74,628
82,629
45,629
140,630
93,630
76,631
8,631
78,632
22,632
22,633
80,633
131,634
33,634
148,635
137,635
105,636
68,636
83,637
123,637
87,638
14,638
79,639
37,639
3,640
124,640
126,641
99,641
79,642
116,642
93,643
140,643
63,644
41,644
69,645
97,645
78,646
148,646
47,647
78,647
70,648
144,648
21,649
52,649
111,650
78,650
1,651
21,651
121,652
83,652
90,653
82,653
73,654
42,654
32,655
36,655
83,656
136,656
127,657
3,657
66,658
16,658
99,659
48,659
42,660
146,660
4,661
81,661
103,662
15,662
112,663
5,663
127,664
81,664
139,665
26,665
131,666
148,666
113,667
52,667
31,668
146,668
107,669
147,669
38,670
21,670
138,671
77,671
51,672
39,672
110,673
75,673
130,674
17,674
31,675
108,675
53,676
142,676
79,677
57,677
33,678
26,678
63,679
117,679
114,680
43,680
25,681
105,681
87,682
109,682
146,683
28,683
86,684
144,684
27,685
51,685
37,686
70,686
86,687
12,687
132,688
103,688
73,689
32,689
89,690
19,690
63,691
111,691
99,692
83,692
77,693
39,693
114,694
40,694
90,695
49,695
137,696
3,696
37,697
11,697
15,698
135,698
83,699
146,699
93,700
61,700
46,701
21,701
64,702
146,702
80,703
73,703
108,704
68,704
64,705
81,705
60,706
12,706
125,707
133,707
141,708
134,708
72,709
145,709
10,710
80,710
138,711
1,711
45,712
94,712
43,713
121,713
35,714
52,714
55,715
7,715
44,716
116,716
98,717
42,717
97,718
11,718
141,719
119,719
121,720
92,720
82,721
54,721
22,722
71,722
113,723
106,723
94,724
77,724
107,725
14,725
9,726
33,726
57,727
46,727
54,728
109,728
35,729
110,729
95,730
40,730
75,731
88,731
145,732
62,732
105,733
84,733
47,734
71,734
3,735
124,735
25,736
70,736
25,737
39,737
107,738
28,738
37,739
106,739
123,740
42,740
128,741
51,741
61,742
130,742
26,743
57,743
50,744
138,744
3,745
85,745
55,746
132,746
114,747
94,747
16,748
9,748
143,749
31,749
2,750
130,750
85,751
130,751
52,752
46,752
134,753
